Kelas;Soal;A;B;C;D;E;Jawaban
5;Untuk menanggapi suatu persoalan atau peristiwa kita menggunakan kata ...;menurut kamu;menurut saya;mengapa kamu;bagaimana pendapatmu;#;B
5;Memberikan komentar terhadap persoalan yang terjadi harus disertai dengan alasan yang ...;berbelit-belit;berbohong;asal-asalan;logis;#;D
5;Faktual adalah suatu kejadian yang bersifat ...;palsu;nyata;belaka;bohong;#;B
5;Ekspresi adalah ...;ungkapan perasaan pelaku seni;pengucapan bunyi bahasa;cepat lambat bunyi bahasa;tinggi rendahnya nada;#;A
5;Cara menemukan masalah utama berita yang dibaca dalam teks berita dapat ditentukan dengan panduan pertanyaan yang berupa ...;"mengapa, apa, siapa, di mana, kapan, berapa";"bilamana, berapa, kapan, di mana, mengapa, apa";"apa, bilaman, kapan, di mana, berapa, mengapa";"apa, siapa, kapan, di mana, mengapa, bagaimana";#;D
5;Hal pertama yang dilakukan dalam meringkas isi buku adalah ...;Membaca buku tersebut secara cermat;Menulis isi buku secara singkat;Memilih inti pokok isi buku;Merangkum isi buku;#;A
5;"Dalam menulis laporan hasil pengamatan, harus menggunakan bahasa ...";sederhana;sopan dan menarik;baik dan benar;tidak baku dan sopan;#;C
5;"Ketika mendengarkan penjelasan dari para narasumber, yang perlu kita lakukan, antara lain ...";bertanya ketika narasumber sedang berbicara;mencatat pokok-pokok pikiran;diam tak berbicara sedikit pun;mendengarkan penjelasan sambil makan;#;B
5;Tanggapan yang diberikan kepada narasumber sebaiknya disampaikan secara ...;tegas dan keras;singkat dan jelas;panjang lebar;santai saja;#;B
5;"Sebelum menanggapi suatu permasalahan, kita harus ...";mengetahui pokok permasalahan yang akan ditanggapi;mencari alasan yang tepat;berlatih lebih dahulu agar tidak grogi;bertanya lebih dulu kepada orang lain masalah apa yang sedang dibicarakan;#;A
5;Kalimat tanggapan yang sesuai adalah ...;"Buat apa kita membantu orang lain, toh kita tidak pernah dibantu.";Memang kita harus berusaha membantu orang lain semampu kita.;Menurut saya kita tidak perlu membantu orang lain karena bukan keluarga saya.;"Kita boleh membantu orang lain, tapi harus ada imbalannya.";#;B
5;"Berikut ini termasuk unsur-unsur intrinsik sebuah cerita, kecuali ...";pengarang;tema;latar;tokoh;#;A
5;Membaca intensif merupakan kegiatan membaca suatu bacaan secara ...;sambil lalu;sekilas;mendalam;teori;#;C
5;Kalimat utama biasanya terdapat pada tiap ...;kata;paragraf;kalimat;suku kata;#;B
5;Rencana kerja yang memuat garis-garis besar suatu karangan disebut ...;tema karangan;kerangka karangan;topik karangan;judul karangan;#;B
5;Paragraf sering juga disebut dengan istilah ...;kalimat;alenia;judul;kata;#;B
5;Karangan yang baik harus memperhatikan penggunaan ejaan yang ...;berlaku;modern;masuk akal;telah lampau;#;A
5;Berikut ini merupakan bentuk penulisan judul karangan yang tepat ...;Kegemaran Yang Menghasilkan;Kegemaran yang menghasilkan;Kegemaran Yang menghasilkan;kegemaran yang menghasilkan;#;B
5;Gagasan utama pada karangan disebut ...;dukungan;paragraf;alur;topik;#;D
5;Kegemaran sama artinya dengan ...;sesuatu yang disukai;hal yang menyenangkan;kegiatan sehari-hari;kegiatan menghilangkan kejenuhan;#;A
5;Berikut ini bukan kegemaran yang biasa dilakukan anak laki-laki adalah bermain ...;bola;kelereng;layang-layang;boneka;#;D
5;Tiap bait pada pantun terdiri atas ...;dua baris;tiga baris;empat baris;lima baris;#;C
5;"Dian gemar sekali membaca buku, sehingga ia dijuluki sebagai ...";kutu buku;kolektor buku;pengarang buku;pengusaha buku;#;A
5;Pengumuman dibuat untuk ditujukan kepada ...;diri sendiri;orang banyak;orang tua;guru;#;B
5;Kalimat yang digunakan dalam pengumuman adalah ...;bertele-tele;berbunga-bunga;berbelit-belit;singkat dan padat;#;D
5;Berikut yang tidak terdapat dalam isi pengumuman adalah ...;waktu;tempat;tanggal;jumlah;#;D
5;Salah satu contoh media cetak yang dapat digunakan untuk menyampaikan pengumuman adalah ...;radio;koran;televisi;internet;#;B
5;Karya sastra berupa pantun termasuk jenis puisi ...;lama;baru;modern;bebas;#;A
5;Baris pertama dan kedua pada pantun merupakan ...;isi;sampiran;tema;gagasan pokok;#;B
