Kelas;Soal;A;B;C;D;E;Jawaban;;
4;Pantun Paling Banyak Dijumpai Dalam Bahasa ...;Inggris;Dayak;Lampung;Melayu;#;D;;
4;"Dalam Karangan, Satu Paragraf Minimal Terdiri Atas …";Satu kalimat utama dan satu kalimat penjelas;Satu kalimat penjelas dan beberapa kalimat utama;Satu kalimat utama dan tiga kalimat penjelas;Satu kalimat utama saja;#;A;;
4;Pesan Yang Penting Sebaiknya Harus Kita ... Agar Tidak Lupa;Biarkan;Ingat;Catat;Simpan;#;C;;
4;Salah Satu Langkah Dalam Menyampaikan Kembali Isi Pengumuman Adalah...;Mendengarkan Pembacaan Pengumuman Dengan Sekilas;Mendengarkan Dengan Saksama Pembacaan Pengumuman;Meminta Penjelasan Dari Pembaca Pengumuman;Menunggu Penjelasan Dari Orang Lain;#;B;;
4;Di Bawah Ini Salah Satu Ciri-Ciri Pantun Adalah...;Baris Ketiga Dan Keempat Berupa Sampiran;Baris Pertama Dan Kedua Berupa Isi;Satu Bait Terdiri Atas Empat Baris;Bersajak B-A-B-A;#;C;;
4;Koperasi Sekolah Menyediakan Alat-Alat Tulis. Kata Menyedihkan Menggunakan Imbuhan ...;Me - I;Me - An;Meny - Kan;Me - Kan;#;B;;
4;Burung Cendrawasih Banyak Terdapat Di Papua. Pemenggalan Kata Cendrawasih Yang Benar Adalah...;Ce - Ndra - Wa - Sih;Cen - Dra - Was - Ih;Cen - Dra - Wa - Sih;Cend - Ra - Wa - Sih;#;C;;
4;Isi Pesan Yang Disampaikan Harus... Dengan Pesan Yang Diterima;Selalu;Sesuai;Sejalan;Bersama;#;B;;
4;Pantun Agama Juga Disebut Pantun...;Adat;Jenaka;Nasihat;Religi;#;D;;
4;"Jika Kita Menerima Telepon Dari Seseorang, Yang Harus Kita Ingat Adalah …";"Siapa Nama Penelepon, Kapan Ia Menelepon, Apa Isi Pesan Yang Telah Ia Sampaikan";"Siapa Nama Penelepon, Kapan Ia Menelepon, Siapa Yang Menerima Telepon";"Siapa Nama Penelepon, Kapan Ia Menelepon, Dari Mana Ia Menelepon";"Siapa Nama Penelepon, Di Mana Dan Dari Mana Ia Menelepon, Dengan Siapa Ia Menelepon";#;A;;
4;"Wah, Indah Benar Lukisanmu! Kalimat Di Atas Mengungkapkan Rasa ...";Malu;Benci;Kagum;Sedih;#;C;;
4;Kumpulan Kalimat Yang Mempunyai Kalimat Utama Atau Pikiran Pokok Disebut...;Kalimat Penjelas;Kalimat Utama;Paragraf;Kalimat;#;C;;
4;Penggunaan Tanda Koma Untuk Menuliskan Bilangan Rupiah Adalah...;Rp100.000;"Rp10.000,00";"Rp 10.00,00";"Rp1.000,00";#;B;;
4;"Pengumuman Ditulis Dengan Padat, Singkat, Dan ...";Mudah;Komunikatif;Informatif;Jelas;#;D;;
4;Membaca Nyaring Disebut...;Bersuara Rendah;Berdendang;Bersuara Sedang;Bersuara;#;D;;
4;Menulis Sebuah Karangan Harus Sesuai Dengan...;Perintah Teman;Topik;Pekerjaan Teman;Niat;#;B;;
4;Kata Pertama Dalam Menerima Telepon Adalah ...;Halo;Terima Kasih;Benar Sekali;Siapa Ya;#;A;;
4;Ide Pokok Yang Dibicarakan Disebut...;Isi;Kalimat;Tema;Paragraf;#;C;;
4;Saya Turut Prihatin Atas Kejadian Yang Telah Menimpa Keluargamu! Pernyataan diatas menyatakan...;Ketidakpuasan;Kepuasan;Keyakinan;Keharuan;#;D;;
4;"Dalam Membaca Pantun, Suara Harus...";Pelan;Menggema;Nyaring;Lembut;#;C;;
4;"Selamat Siang, Bu Guru. Tanda Bacaan Yang Tepat Untuk Kalimat Di Atas Adalah ...";Tanda Tanya;Tanda Pisah;Tanda Seru;Titik;#;C;;
4;Penulisan Huruf Kapital Yang Salah Berikut Ini Adalah...;Mr. Rajiman;Jend. Sudirman;Drs. Moh. Toha;Ir. Soekarno;#;B;;
4;Penulisan Di Sebagai Kata Depan Adalah... Dengan Kata Yang Mengikutinya;Semua Jawaban Salah;Dipisah;Disambung;Boleh Dipisah Dan Boleh Disambung;#;B;;
4;"Komunikatif, Artinya...";Bisa Dibaca;Mudah Dimengerti;Bisa Diterima;Mudah;#;B;;
4;Telepon Merupakan Salah Satu Sarana Untuk ...;Bermain;Berkomunikasi;Bermusuhan;Bercanda;#;B;;
4;Berikut Ini Contoh Pengumuman Dalam Lingkungan Perdagangan ...;Pengumuman Berita Duka;Pengumuman Anak Hilang;Pengumuman Juara Lomba;Pengumuman Daftar Harga Barang;#;D;;
4;Pengumuman Pada Dasarnya Berisi...;Berita Tentang Sesuatu;Cerita Pada Masa Lalu;Beberapa Pantun;Hadiah Langsung;#;A;;
4;Pengumuman Adalah ...;Memberi;Menerima;Menunggu;Memberitahukan;#;D;;
4;Pada Acara Itu Para Pedagang Mendapatkan Banyak Laba. Makna Kata Laba Pada Kalimat Di Atas Adalah ...;Kerugian Yang Diderita Pedagang;Banyaknya Modal Yang Dikeluarkan;Keuntungan Yang Diperoleh Pedagang;Pelanggan Yang Datang Bekunjung;#;C;;
4;"Kita Tidak Boleh Berpikir Mundur, Tetapi Harus Berpikir ... Antonim Yang Tepat Dari Kata ""Mundur"" Adalah...";Luas;Maju;Cerdas;Pintar;#;B;;
4;"Berikut Ini Adalah Kata-Kata Yang Berhubungan Dengan Bidang Koperasi, Kecuali...";SHU;UKS;Simpanan Wajib;Simpanan Pokok;#;B;;
4;Manakah Yang Menggunakan Tanda Koma Dengan Benar?;"Di Kebun Pak Somat Ada Tomat, Dan Cabai.";"Saya Suka Makan Bakso, Soto, Sate Dan Gulai.";"Ibu Membeli Sayur, Gula Dan Beras Di Pasar.";"Shinta, Danu, Dan Wiwid Adalah Teman Seklelas.";#;B;;
4;Membaca Dengan Suara Jelas Dan Keras Disebut...;Membaca Cepat;Membaca Surat;Membaca Nyaring;Membaca Memindai;#;C;;
4;"Kebetulan pisangnya sudah menguning, Kata menguning memiliki makna yang sama dengan Kata...";Masak;Manis;Layu;Segar;#;A;;
4;Ayah hendak menebang pohon pisang. Lawan kata menebang dalam kalimat di atas adalah...;menanak;memasak;memanen;menanam;#;D;;
4;"Tanda ( , ) dalam kalimat berguna...";berhenti;berhenti sebentar;berhenti lama;terus dibaca;#;B;;
4;Kalimat yang tepat untuk memberikan pendapat dan saran ialah...;Anda tidak boleh...;Kamu jangan...;Kamu harus...;Menurut saya sebaiknya...;#;D;;
4;Lapangan olahraga untuk jualan. Pendapat dan saran yang tepat untuk masalah di atas adalah...;Berjualan di lapangan mengganggu sebaiknya berjualan di pasar;Berjualan untuk mendapatkan banyak uang;Olah raga memang harus di lapangan;Lapangan adalah tempat untuk berolah raga;#;A;;
4;Yang harus di lakukan pertama kali untuk memelihara ikan di akuarium adalah...;memberi makan;mengisi air;menyiapkan ikan;menyiapkan akuarium;#;D;;
4;Tanda seru ( ! ) digunakan untuk mengakhiri kalimat...;perintah;Tanya;berita;langsung;#;A;;
4;"Tono sedang belajar, tiba-tiba ayah memanggil Tono. Yang dilakukan Tono adalah...";berhenti belajar;belajar terus;menyahut panggilan ayah;keluar kamar belajar;#;C;;
4;Arman sering tidak masuk sekolah. Saran yang dapat kamu sampaikan kepada Arman adalah...;sebaiknya tidak usah ijin;tidak masuk sekolah tidak apa apa;belajar di rumah saja;usahakan rajin berangkat sekolah agar pandai;#;D;;
4;"Jika tidak ada pembeli, Toni menggunakan waktu Untuk...";Bekerja;Berjualan;belajar;bermain;#;C;;
4;Kecelakaan Kereta api terjadi di Bogor Jawa Barat. Pertanyaan yang tepat untuk masalah di atas adalah...;Dimana kecelakaan itu terjadi ?;Kapan kecelakaan itu terjadi ?;Bagaimana kecelakaan itu terjadi ?;Mengapa kecelakaan itu terjadi ?;#;A;;
4;Kita- teguh- runtuh-kita- bercerai-bersatu. Kalimat yang bermakna dari kata-kata di atas adalah...;Kita bersatu runtuh kita bercerai teguh;Bersatu kita bercerai runtuh kita teguh;Bersatu kita teguh bercerai kita runtuh;Kita bercerai teguh kita bersatu runtuh;#;C;;
4;Tono bermain bola... Halaman. Kata depan yang tepat untuk melengkapi kalimat di atas adalah...;dari;pada;ke;di;#;D;;
4;Cara membaca puisi yang baik adalah...;Suara selalu lirih;Intonasi yang tepat;Suara yang keras;Suara tidak perlu keras;#;B;;
4;Membaca intensif merupakan kegiatan membaca suatu bacaan secara ...;Sambil lalu;Sekilas;Mendalam;teori;#;C;;
4;Kegiatan yang dilakukan orang untuk mencari penghasilan dalam rangka memenuhi kebutuhan hidup disebut ...;Kegiatan ekonomi;Kegiatan produksi;Kegiatan distribusi;Kegiatan konsumsi;#;A;;
4;Setiap kegiatan ekonomi pada dasarnya bertujuan untuk ...;Memperoleh pujian;Memenuhi kebutuhan;Menggunakan kemamouan;Memanfaatkan kekayaan alam;#;B;;
4;"Dalam kegiatan produksi, orang menghasilkan barang dan jasa. Berikut ini yang termasuk kegiatan produksi adalah ...";Membuat tahu;Membeli sepatu;Berdagang sayuran;Mengirim hasil bumi;#;A;;
4;Berikut ini yang tergolong kegiatan komsumsi adalah ...;Penjahit memotong pola kain;Anto memakai baju lebaran;Tukang bakso menjajakan dagangannya;Tukang las membuat pagar rumah;#;B;;
4;Kegiatan ekonomi yang cocok dilakukan penduduk di sekitar tempat pariwisata ...;pertanian;pertambangan;perkebunan;jasa;#;D;;
4;Di bawah ini yang bukan bidang pekerjaan jasa di bawah ini adalah ...;dokter;guru;konsultan;nelayan;#;D;;
4;Keadaaan alam mempengaruhi jenis pekerjaan penduduk. Pekerjaan yang biasa dilakukan di dataran tinggi adalah ...;menjadi nelayan;menjadi pembuat barang kerajinan dari kerang;menjadi pegawai kantoran;bertani sayur-sayuran;#;D;;
4;Berikut ini yang termasuk dalam perusahaan jasa adalah ...;perusahaan tekstil;biro pariwisata;industri perakitan mobil;usaha pembuatan genting;#;B;;
4;"Sungai dapat dimanfaatkan untuk hal berikut ini, kecuali ...";mengairi sawah;pembangkit listrik tenaga uap;memelihara ikan;sarana olahraga air;#;B;;
4;Badan atau lembaga perekonomian yang paling cocok dengan maksud Pasal 33 ayat 1 UUD 1945 adalah ...;Perseroan;koperasi;Firma;kongsi dagang;#;C;;
4;Tujuan koperasi adalah ...;meningkatkan kesejahteraan anggota;memperoleh keuntungan sebesar-besarnya;menguasai ekonomi rakyat;merugikan anggotanya;#;A;;
4;Modal koperasi berasal dari ...;pengurus;anggota;pengusaha;Pemerintah;#;C;;
4;Bapak koperasi Indonesia adalah ...;Prof.Dr Soemitro;Drs. Mohamad Hatta;Jendral Soeharto;Ir.Soekarno;#;B;;
4;Koperasi Unit Desa didirikan di lingkungan ...;perkotaan;pedesaan;perusahaan;pertokoan;#;C;;
4;Koperasi yang berada di sekolah baranggotakan ...;PNS;karyawan;Kepala sekolah;siswa;#;D;;
4;Gambar timbangan pada lambang koprasi Indonesia memiliki makna ...;Keadilan sosial sebagai salah satu dasar koperasi;Bersifat kerakyatan;Koperasi sebagai penyalur aspirasi;Selalu menuju keunggulan dalam persaingan global;#;A;;
4;Simpanan yang dibayarkan pada saat mendaftar menjadi anggota koprasi adalah ...;Simpanan wajib;Simpanan pokok;Simpanan sukarela;Simpanan anggota;#;B;;
