Kelas;Soal;A;B;C;D;E;Jawaban
1;Mainan berikut biasa dibuat dari kertas, kecuali ...;lampion;pesawat terbang;parasut;kapal-kapalan;#;C
1;Jenis pewarna yang awet untuk menghias bambu adalah ...;cat;spidol;cat air;pensil warna;#;A
1;Lentera yang terbuat dari kertas adalah ...;parasut;kincir;lampu;lampion;#;D
1;Yang digunakan untuk merekatkan bambu dan kertas pada layang-layang adalah ...;lem;benang;selotip;kain;#;A
1;Benda yang digunakan sebagai hiasan ruangan disebut ...;benda pasang;benda hiasan;benda gantung;benda tempel;#;B
1;Ciri-ciri benda yang dapat digerakkan oleh angin adalah benda yang bahannya ...;berat;besi;ringan;kayu;#;C
1;Bahan yang tidak biasa digunakan untuk membuat kincir adalah ...;kertas;tripleks;gelas plastik;batu;#;D
1;Alat untuk menggambar dengan cat adalah ...;sikat;kuas;pisau;pensil;#;B
1;Agar mainan lebih bagus perlu ...;dicetak;dihias;diukur;disimpan;#;B
1;Bahan untuk membuat benda disesuaikan dengan...benda yang akan dibuat.;hiasan;alat;harga;ukuran;#;D
1;Yang termasuk karya seni dua dimensi adalah ...;vas bunga;lukisan;relief;kain batik;#;B
1;Kesucian dilambangkan dengan warna ...;merah;hitam;putih;cokelat;#;C
1;Pola gambar matahari pada waktu sore menggunakan warna ...;hitam;jingga;ungu;putih;#;B
1;Gambar di samping ragam hias dengan motif ...;daun;bunga;buah;kupu-kupu;#;B
1;Tanda dinamik ¦¦ mempunyai arti ...;kuat sekali;setengah lembut;lembut;setengah kuat;#;A
1;Yang tidak termasuk tanda tempo lambat adalah ...;vivace;lento;largo;largissimo;#;A
1;Gambar di samping adalah gambar ...;triangle;dram;rebana;kastanyet;#;A
1;Contoh alat musik modern untuk mengiringi tarian adalah ...;gong;piano;tifa;kecapi;#;B
1;Tari gembira diiringi musik dengan tempo ...;lambat;cepat;sedang;lembut;#;B
1;Hidup rukun akan membuat pekerjaan berat menjadi...;ringan;sakit;sukar;mudah;#;A
1;Mengejek Orang lain dapat merusak ...;kekerasan;kesombongan;kerukunan;persahabatan;#;C
1;Tata tertib di rumah harus Dilaksanakan ...;Ayah ibu;Nenek kakek;Semua anggota keluarga;Pembantu rumah tangga;#;C
1;Dengan teman bermain tidak boleh saling ...;membantu;mengejek;menolong;menghina;#;B
1;Sikap Tata tertib sebaiknya kita...;abaikan;biarkan;taati;langgar;#;C
1;Merapikan Tempat tidur merupakan tata tertib di...;masyarakat;rumah;sekolah;kantor;#;B
1;Ketika akan pergi hendaknya ...;berpamitan;secara diam-diam;sembunyi-sembunyi;langsung pergi;#;A
1;Hidup rukun adalah saling...;menghargai;memusuhi;mengejek;mengabaikan;#;A
1;Menyapu kelas bersama teman merupakan contoh rukun di...;masyarakat;keluarga;sekolah;lingkungan;#;C
1;Contoh hidup rukun di rumah ...;menulis;meminjam pensil;mengasuh adik;bermain game;#;C
1;Nina dan Tuti berjenis kelamin ...;laki -- laki;perempuan;laki-laki dan perempuan;tidak diketahui;#;B
1;Jenis kelamin ayah adalah ...;wanita;perempuan;laki - laki;pria;#;C
1;Terhadap sesama pemeluk agama harus saling ...;menghormati;mengejek;memusuhi;mengacuhkan;#;A
1;Hari raya umat Islam ...;nyepi;idul fitri;katina;natal;#;B
1;Meskipun berbeda agama kita harus ...;berkelahi;bertengkar;rukun;acuh;#;C
1;Anwar beragama Islam beribadah di ...;masjid;gereja;pura;vihara;#;A
1;Terhadap teman kita harus ...;memusuhi;menjauhi;rukun;mengabaikan;#;C
1;Kita akan disenangi teman jika ...;kaya;miskin;selalu bersikap baik;pelit;#;C
1;Kita harus ... dengan sesama saudara;rukun;bertengkar;bermusuhan;acuh;#;A
1;Cristina beragama  ... beribadah di gereja;islam;katolik;hindu;budha;#;B
1;Pak Gede orang Bali, pak Matius orang batak. Mereka berbeda ...;jenis kelaminnya;suku bangsanya;rumahnya;agamanya;#;B
1;Rina, cristin, dan Made sedang bermain bersama di sekolah, mereka suka hidup ...;bertengkar;bermusuhan;rukun;sendiri-sendiri;#;C
1;Orangtua kita senang melihat anaknya ...;bertengkar;rukun;bermusuhan;berkelahi;#;B
1;Dengan teman sekolah tidak boleh ...;membeda-bedakan teman;berteman dengan anak orang kaya;berteman dengan anak orang miskin;berkelompok;#;A
1;Agama di Indonesia ada ... ...;tiga;lima;enam;tujuh;#;C
1;Walaupun kita berbeda suku agama tetapi harus tetap...;bercerai;rukun;bermusuhan;berkelahi;#;B
1;Membedakan teman dalam berteman adalah perbuatan ...  ...;terpuji;tercela;tersanjung;terhormat;#;B
1;Adik dan kakak harus saling ... ...;bermusuhan;mencaci;menyayangi;mengabaikan;#;C
1;Berbeda-beda tetap satu juga, arti dari  ...;Bhinneka tunggal ika;Bhinneka tunggal karya;Panca marga;Sumpah Pemuda;#;A
1;Anak yang nakal akan ... teman ...;disenangi;dijauhi;disayang;dihormati;#;B
1;Bentuknya Bulat Biasa Ditendang dan Dilempar...;Telur;Roti;Bola;Ban;#;C
1;Gerakan Olahraga Yang Diajarkan Pak Unang Meniru Katak, Yaitu...;Berlari;Melompat;Tiduran;Merangkak;#;B
1;Siap Gerak! Kata Pak Guru, Maka Badan Kita Harus...;Miring;Bungkuk;Tegak;Santai;#;C
1;Istirahat ditempat Gerak! Apabila mendengar seruan tersebut, Sikap Kaki Kita...;Tutup;Buka;Lipat;Silang;#;B
1;Minuman Yang Sehat Melengkapi Makanan Bergizi Yaitu...;Buah;Susu;Roti;Air mineral;#;B
1;Badan Ari Ketika Push Up ...;Telungkup;Telentang;Berdiri;Jongkok;#;A
1;Berpa Kali Kita Makan Dalam Sehari?;Satu;Dua;Tiga;Empat;#;C
1;Bu Nina Mengajak Kita Senam Irama, Yaitu Senam Yang Diiringi Suara...;Drum Band;Musik;Nyanyian;Tepuk tangan;#;B
1;Dodi Mengikuti Nasihat Pak Guru Tenatng Waktu Menggosok Gigi Yang Baik Yaitu...;Selesai Mandi Pagi dan Sore;Saar Makan Dan Sebelum Tidur;Sehabis Makan Dan Sebelum Tidur;Setiap bangun tidur;#;C
1;Berkeramas Merupakan Cara Membersihkan Rambut Menggunakan...;Sampo;Sabun;Deterjen;Minyak;#;A
1;Dodi Berdiri. Sikap Badan Dodi Pada Saat Berdiri...;Bungkuk;Miring;Tegak;Santai;#;C
1;Latihan Yang Diajarkan Guru Olahragaku Memutar Tangan, Gunanya Untuk Melatih Otot...;Badan;Lengan;Punggung;Kaki;#;B
1;Latihan Olahraga Kemarin Menyentuh Ujung Kaki. Gerakan Itu Dilakukan Dengan Cara...;Membungkuk;Mengayun;Memutar;Melompat;#;A
1;Waktu Kita Berjalan Pandangan Kita Mengarah Ke...;Depan;Samping;Belakang;Atas;#;A
1;Setiap Hari Jum'at Ibu... Kuku ku Yang Panjang.;Memotong;Mencuci;Membersihkan;Mengecat;#;A
1;Sikap Awalan Gerak Katak Melompat Yaitu...;Berdiri;Jongkok;Duduk;Berbaring;#;B
1;Terlalu Sering Meminum Es Bisa Mengakibatkan Badan Menjadi...;Sehat;Sakit;Segar;Lelah;#;B
1;Tangan Dewi Kotor, Tangan Dewi Harus ...;Diwarnai;Dicuuci;Dibiarkan;Dilap;#;B
1;Senam Dilakukan Agar Badan Menjadi...;Sakit;Sehat;Demam;Lelah;#;B
1;Jajan Disembarang Tempat Sangat Berbahaya Bagi... Kita.;Kesehatan;Ibu;Ayah;Teman;#;A
1;Benda yang ditangkap dan dilempar adalah.....;kelapa;roti;bola;kerikil;#;C
